fecha,zona_residencia,zona_pernoctacion,personas
20230701,0105902,26011,6584
20230701,0105904,27066,24636
20230701,0200303,02035_AM,58594
20230701,0200305,08298,4294
20230701,0200308,46044,1545
20230701,03002_AM,17092_AM,1589
20230701,0300904,44158_AM,4089
20230701,0300904,46070,8772
20230701,0301403,GAU Torrevieja,61098
20230701,0301404,03046,44494
20230701,03034_AM,03118,4224
20230701,0305001,09174_AM,2644
20230701,0305002,GAU Orihuela,318
20230701,0306302,GAU Valle de la Orotava,2288
20230701,0306501,46016_AM,2765
20230701,0306503,46214_AM,4346
20230701,0306506,31029_AM,4136
20230701,0306507,03070,246
20230701,0306507,44076,2318
20230701,0306604,41024,5573
20230701,0306605,03902,7677
20230701,0307903,02019_AM,5948
20230701,0309907,25173_AM,2793
20230701,0310201,03095,12243
20230701,0310404,31908_AM,844
20230701,03118,GAU Santander - Torrelavega,6967
20230701,0311902,30003,10214
20230701,0313303,46235,6658
20230701,03140,27902,4338
20230701,0401302,GAU Roquetas de Mar,187925
20230701,0407901,18907_AM,20997
20230701,0410001,04003,7678
20230701,05021_AM,GAU Orihuela,2968
20230701,0601104,02012_AM,1732
20230701,06020_AM,21060,1602
20230701,06025,GAU Mérida,5756802
20230701,06058_AM,30036,2686
20230701,0608303,06155_AM,4034
20230701,06135_AM,11030,4188
20230701,07024,GAU Málaga,2805
20230701,0702901,28090,3336
20230701,0702901,GAU Zaragoza,40
20230701,0703601,GAU Gran Canaria Sur,2618
20230701,0704003,GAU Huelva,6326
20230701,0801502,08284_AM,12552
20230701,08018_AM,GAU Madrid,564
20230701,0801901,03097_AM,2499
20230701,0801904,25034,31001
20230701,0801905,08011_AM,15101
20230701,0801906,07062,5874
20230701,0801906,12121_AM,8246
20230701,0801907,29082_AM,1983
20230701,0801908,37140_AM,2732
20230701,0801910,31169,15966
20230701,08086,22907_AM,6667
20230701,0808802,17902_AM,3499
20230701,0808903,07032,2262
20230701,08091_AM,17223_AM,1665
20230701,0809603,GAU Granada,2661
20230701,0810102,10113_AM,2405
20230701,0810103,27005,2842
20230701,0811401,08102,4027
20230701,0811802,08016_AM,9299
20230701,0812103,22025_AM,2003
20230701,08135,17163,4523
20230701,0816901,35014,1781
20230701,0816901,46084_AM,2413
20230701,08170_AM,08302,3367
20230701,0818001,30043,13015
20230701,0818403,28183_AM,2616
20230701,0818703,25907_AM,2411
20230701,0818704,GAU Zamora,7508
20230701,0820003,44246_AM,1728
20230701,0820503,GAU Girona,16973
20230701,0821001,50062_AM,2625
20230701,08235,17141,1952
20230701,0824502,17089,4044
20230701,0824503,43038_AM,4155
20230701,0824505,43037,25439
20230701,0824506,03079,5011
20230701,08252,GAU Valencia,20513
20230701,08266,43064_AM,4303
20230701,0827901,27021_AM,2167
20230701,0827904,GAU Alicante - Elche,7347
20230701,0901803,49003_AM,2792
20230701,0905903,GAU Palma de Mallorca,1295
20230701,1003702,10203,31222
20230701,10067,07032,4717
20230701,10146_AM,10140_AM,5647
20230701,10148,13093_AM,5764
20230701,10203,GAU A Coruña,8639
20230701,1100402,27066,6682
20230701,1100702,06006,6485
20230701,1103204,GAU Eivissa,2027
20230701,1103302,GAU A Coruña,3358
20230701,1103501,45125,4356
20230701,1103502,06011,1704
20230701,12011_AM,41039,3714
20230701,12034_AM,GAU Valencia,15621
20230701,1204004,12016_AM,10068
20230701,1204004,GAU Sevilla,9501
20230701,1207702,12080_AM,2074
20230701,1212603,GAU Teruel,264
20230701,1213502,01058_AM,4783
20230701,12901,GAU Barcelona,5486
20230701,1303402,46105,8787
20230701,14007_AM,11037,2899
20230701,1402102,GAU Santiago de Compostela,4849
20230701,1402105,GAU Madrid,96212
20230701,1402106,18916,4829
20230701,1402108,14036,5049
20230701,1402110,06087_AM,2862
20230701,14035,21010,2854
20230701,14038,14046,22028
20230701,1405604,46077,2159
20230701,1405605,41053,366
20230701,15012,33036,5827
20230701,15015,GAU Ceuta,4169
20230701,15019,07015,10222
20230701,1503005,24160_AM,4527
20230701,1503009,15022_AM,10308
20230701,1503102,15062,939
20230701,1508201,15067,459
20230701,16027_AM,45198,1448
20230701,1607803_AD,GAU Tarragona - Reus,12705
20230701,16102_AM,45153_AM,2684
20230701,16117_AM,GAU Denia - Jávea,7579
20230701,1619002,GAU Ponferrada,2119
20230701,17008,17062,14221
20230701,1707902,08016_AM,4146
20230701,1707902,17013,79029
20230701,17164_AM,08100,10363
20230701,17186,17169_AM,5893
20230701,17202,25119_AM,7601
20230701,17902_AM,17049_AM,5183
20230701,18035_AM,08112,4167
20230701,1808703,17039_AM,5805
20230701,1808707,11016,18572
20230701,1808707,28131,3096
20230701,1808709,GAU Bilbao,6966
20230701,18089,33056,7724
20230701,18102_AM,23093_AM,6988
20230701,19024,GAU Castellón de la Plana,10449
20230701,19053_AM,22061,5
20230701,1913002,40040_AM,12269
20230701,19143,GAU La Bahía de Cádiz,7231
20230701,20005_AM,44050_AM,85
20230701,2003004,01009_AM,1659
20230701,20034_AM,GAU Torrevieja,232
20230701,20052_AM,01901,1071
20230701,20055,16903_AM,2719
20230701,2006904,20034_AM,3306
20230701,21018_AM,21010,6291
20230701,2104101,06135_AM,3973
20230701,2104101,21023_AM,43562
20230701,2107203,21060,98278
20230701,22017_AM,21010,1821
20230701,23005,29015_AM,275
20230701,2301003,06011,2539
20230701,2305008,23088,2247
20230701,24008,24015_AM,19915
20230701,2408903,42129_AM,292
20230701,2411502,GAU Granada,13404
20230701,24183_AM,27065,15667
20230701,24209,GAU La Costa del Sol,7099
20230701,2512004,17062,6112
20230701,2512005,12138,2686
20230701,2512006,42069_AM,3452
20230701,25137,25137,13409362
20230701,25240_AM,22025_AM,2147
20230701,2608904,04064,3942
20230701,26125,25203,5708
20230701,26168,29068,2528
20230701,26168,39020,5056
20230701,28002,07024,2028
20230701,28015,GAU Barcelona,43487
20230701,28047,05021_AM,11866
20230701,2805402,28087,6892
20230701,2805802,GAU Córdoba,3218
20230701,2805803,GAU Barcelona,17651
20230701,2805804,28031,15004
20230701,2805805,19156_AM,3728
20230701,2805805,37142_AM,3769
20230701,2805806,40141_AM,12062
20230701,2806501,GAU Ávila,3521
20230701,2806503,45187,8207
20230701,28073,10061_AM,3242
20230701,2807402,GAU Burgos,5808
20230701,2807403,GAU A Coruña,4524
20230701,2807405,40101_AM,7183
