fecha,zona_residencia,zona_pernoctacion,personas
20230701,01028_AM,39035,2875
20230701,0105902,2906901,7353
20230701,0105903,07032,3302
20230701,0105903,24070_AM,3284
20230701,0105905,1815002,3088
20230701,0105906,4316303,3404
20230701,0200302,1617501,19367
20230701,0200304,46080_AM,3729
20230701,02019_AM,02037,6986
20230701,02021_AM,46193,5818
20230701,02037,0304701,2204
20230701,02067_AM,02025,5375
20230701,0301401,2807904,11671
20230701,0301403,03064,3134
20230701,0301803,0304102,5905
20230701,0302102,4625015,2144
20230701,0303103,18061_AM,5324
20230701,0303104,47050,1714
20230701,0305905,03023_AM,1213
20230701,0306507,03023_AM,3270
20230701,0306507,0305902,6138
20230701,0306507,03112_AM,9892
20230701,0306507,23038,3270
20230701,03076,28106,7876
20230701,0309002,09219,3704
20230701,03093,2800502,907
20230701,03096,0305002,38738
20230701,0309902,4618402,3723
20230701,0309903,03118,5285
20230701,0310402,0301406,2813
20230701,0310404,44209_AM,1509
20230701,03109,0313301,31841
20230701,03123_AM,0704802,5712
20230701,0313302,0301404,8922
20230701,03138,46181,7936
20230701,0401305,0827906,2883
20230701,0401306,4217303,4952
20230701,0401307,28177,3028
20230701,0401307,2905101,4016
20230701,0402901,04011_AM,3708
20230701,0402901,18175,3492
20230701,04053,04099,15736
20230701,04062_AM,04031,13494
20230701,0407502,08001,8034
20230701,0407902,2104104,2879
20230701,04902,3003004,16071
20230701,04902,3502606,2374
20230701,05002_AM,2807910,9372
20230701,0601501,2105003,6255
20230701,06020_AM,10146_AM,2988
20230701,06074_AM,2104107,3357
20230701,06080_AM,2906702,1859
20230701,0608303,3302409,2571
20230701,06155_AM,39018,2277
20230701,0704003,1815002,2462
20230701,07055,0704004,25442
20230701,08003,0818703,2657
20230701,0800701,25209_AM,2361
20230701,0801502,0819702,6877
20230701,0801503,0811001,6329
20230701,0801901,0808802,4883
20230701,0801903,44158_AM,7161
20230701,0801905,1711701,277378
20230701,0801908,46135,2358
20230701,0801910,0200305,5826
20230701,0801910,10148,3286
20230701,08072,08233_AM,8374
20230701,0807304,17167_AM,2147
20230701,0808801,5029701,3375
20230701,0809603,08135,2016
20230701,0809603,3500402,3247
20230701,0809604,0820004,2820
20230701,0809604,17213,6053
20230701,08100,07014,3350
20230701,08102,17178_AM,4721
20230701,0810602,17034,7503
20230701,0811204,17013,1929
20230701,0811302,4314804,2435
20230701,0811404,43171,3762
20230701,0812101,17111_AM,2384
20230701,0812105,0810101,17627
20230701,08123,1711801,3408
20230701,0813601,07005,2324
20230701,08143,25223_AM,5533
20230701,0815901,0818707,6114
20230701,0815902,0705402,3035
20230701,0817202,08041,3993
20230701,0818001,27019,5189
20230701,08181,17120_AM,1814
20230701,08183,4314806,4842
20230701,0818404,0809602,4663
20230701,0818701,0805601,2487
20230701,0818705,1709502,4125
20230701,08194,44008_AM,4463
20230701,0819702,43128_AM,2474
20230701,0820002,1103302,2952
20230701,08203,14058,2308
20230701,0820503,43128_AM,3968
20230701,08211,37140_AM,11385
20230701,08211,43051,76078
20230701,08220_AM,17202,12532
20230701,08221,08072,6012
20230701,08231,0827001,2570
20230701,08231,4316301,2926
20230701,0824002,0810106,5262
20230701,0824504,04083_AM,3346
20230701,0824504,0701106,3346
20230701,08251,08161,3736
20230701,08251,4103403,4713
20230701,08258_AM,08175_AM,9257
20230701,0826301,0818404,16669
20230701,0826303,0816903,8932
20230701,08266,08295,6813
20230701,0827901,07032,11146
20230701,0827905,43014,7288
20230701,0827906,17213,5084
20230701,0827907,1711703,7303
20230701,08284_AM,0803503,6410
20230701,08295,50165_AM,4849
20230701,08298,23074_AM,3878
20230701,08300_AM,0827907,3322
20230701,0830101,21076_AM,1552
20230701,08904,4517302,4376
20230701,0901803,0303102,2792
20230701,0905902_AD,18017,14219
20230701,0905903,0501906,19085
20230701,09177_AM,3001606,3262
20230701,09211_AM,33037,4721
20230701,09439_AM,09056,3368
20230701,10010_AM,1003701,8029
20230701,10010_AM,4100404,7182
20230701,1003702,1101206,2600
20230701,1003705,3001609,6447
20230701,10109_AM,0801903,2500
20230701,10148,1100404,1230
20230701,10186_AM,20067,5375
20230701,1100401,3500402,3353
20230701,1100402,1102203,21954
20230701,1100602,0401306,3764
20230701,1100704,1102007,1710
20230701,11011_AM,29084,10601
20230701,1101505,33066,2429
20230701,1102006,30041,2945
20230701,1102006,4108702,8411
20230701,1102007,2905103,5510
20230701,1102007,4105301,18399
20230701,1102009,28104,1991
20230701,1102201,1101503,3711
20230701,1102204,39041_AM,3095
20230701,1102703,39026_AM,7394
20230701,1103003,1102007,9266
20230701,1103101,14005_AM,2836
20230701,1103201,11021,3263
20230701,1103202,1102702,3204
20230701,1103203,4109104,2503
20230701,1103301,4109101,8211
20230701,1103305,2906702,6937
20230701,12027,2608903,3331
