fecha,zona_residencia,zona_pernoctacion,personas
20230701,01001,48022_AM,6236
20230701,01010,39027_AM,3458
20230701,01028_AM,07046,40
20230701,01047_AM,37046_AM,4071
20230701,0105903,36022,2853
20230701,0105904,03042,4513
20230701,0200303,03099,4888
20230701,0200306,46213,2893
20230701,02019_AM,46102,5631
20230701,02025,29015_AM,2299
20230701,02045,02003,66801
20230701,0206902,03047,17107
20230701,0300907,09059,4948
20230701,0301402,07011,6705
20230701,0301408,46106_AM,3077
20230701,0306302,13023,1893
20230701,0306505,09141_AM,3796
20230701,0306506,30901,8452
20230701,0307102,17079,2305
20230701,0310403,35028,4886
20230701,03111,16903_AM,8149
20230701,03112_AM,03031,16591
20230701,03120,30036,704
20230701,0313301,03055,6796
20230701,0313303,26089,24391
20230701,03902,03121,5769
20230701,04006,17023,4131
20230701,04006,18911,7814
20230701,0401303,18907_AM,4912
20230701,0401303,29094,3299
20230701,04031,04003,1837
20230701,04052,30026,4757
20230701,0407902,07027,9263
20230701,04086_AM,30037,2958
20230701,04098_AM,04003,2035
20230701,0410001,04053,3157
20230701,0501904,45125,7529
20230701,05047,39006_AM,4527
20230701,0601503,06122,13284
20230701,0608301,11016,16084
20230701,06120,28027_AM,4232
20230701,06154,21050,2019
20230701,0615802,10105_AM,2255
20230701,0702203,07022,3786909
20230701,07026,28092,3441
20230701,07026,29017,8405
20230701,07031,07036,55437
20230701,0705202,17034,3597
20230701,0705701,29901,2605
20230701,07058_AM,07051,2643
20230701,0800701,08169,2361
20230701,0800702,08096,10485
20230701,0800702,08307,40
20230701,0801506,39020,1569
20230701,0801901,07033,29081
20230701,0801901,43906,22158
20230701,0801903,13079,2727
20230701,0801906,08091_AM,2957
20230701,0801907,48032,2956
20230701,0801910,10195_AM,2466
20230701,08033,08022,4319
20230701,08034_AM,43092,3814
20230701,08040,20069,9154
20230701,08051,07048,3784
20230701,0805603,12138,5539
20230701,08069,43906,37
20230701,0807304,08227_AM,7752
20230701,0807305,15054,2195
20230701,0808901,17048,29143
20230701,0810106,08187,24651
20230701,08102,08196,3244
20230701,08102,08262_AM,3244
20230701,08105,12032,2909
20230701,0812506,17103,4834
20230701,08126,31038_AM,2922
20230701,08155,25051_AM,3799
20230701,08156,17023,10401
20230701,08156,41011,4677
20230701,0816901,17103,2106
20230701,0816902,08148,5776
20230701,0816902,08240,5751
20230701,0816903,08231,11798
20230701,0816903,41016,1943
20230701,0817203,08029,3289
20230701,0818001,24010,1606
20230701,0818403,43092,15273
20230701,0818404,22054_AM,2659
20230701,0818701,43162,4328
20230701,0818705,17019,3579
20230701,08202,15009,2954
20230701,0820505,08124,5257
20230701,08208_AM,08056,10094
20230701,08231,25223_AM,6127
20230701,08233_AM,17148_AM,4167
20230701,0824001,08245,218
20230701,08244,35014,4956
20230701,08247_AM,17047,3102
20230701,08258_AM,08172,117
20230701,08260,25119_AM,2368
20230701,08262_AM,08118,34
20230701,0826304,17095,2773
20230701,08264,37046_AM,2265
20230701,08266,08305,8453
20230701,08267,17213,226
20230701,0827905,17211_AM,2347
20230701,0827906,28002,7957
20230701,0830501,25072,1353
20230701,0830502,08298,3183
20230701,0830701,08074,4959
20230701,0830702,28131,186
20230701,0830704,03063,2541
20230701,0905903,24083_AM,105
20230701,0905907,39023,3487
20230701,1003701,33056,1983
20230701,1003705,10061_AM,32175
20230701,1003705,10186_AM,15476
20230701,1003706_AD,10087_AM,7614
20230701,10061_AM,37313_AM,431
20230701,10105_AM,14013,2189
20230701,1013102,14021,3279
20230701,10148,37142_AM,8499
20230701,10175_AM,10121,11333
20230701,1100402,11012,26084
20230701,1102202,29051,2275
20230701,1103105,41089,4052
20230701,1103205,49250_AM,18
20230701,1103302,28079,11873
20230701,1200502,08156,8063
20230701,12106_AM,12104,4136
20230701,1301301,13033_AM,3762
20230701,1303402,14038,4258
20230701,1303403,13071,52928
20230701,13065_AM,28106,225
20230701,13071,16124_AM,2738
20230701,1308704,13087,4952771
20230701,1402101,35015,3301
20230701,1402108,14014,2722
20230701,14026_AM,23038,3625
20230701,14055,11012,4243
20230701,1405603,14012,334
20230701,15002,14073,4952
20230701,15019,07010,4243
20230701,1503004,07024,403
20230701,1503008,15075,5184
20230701,15066,27040_AM,344
20230701,15073,11004,2855
20230701,1507803,15016,15845
20230701,1507805,28074,5724
20230701,16023_AM,46244,5765
20230701,1607804,16190,52348
20230701,1607804,23095,4618
20230701,17049_AM,17118,17796
20230701,1707905_AD,17199,40304
20230701,1709501,46250,6201
20230701,1711702,08233_AM,9391
20230701,17139_AM,17012_AM,237
20230701,17141,08307,8696
20230701,17146,08163,4581
20230701,1716003,08019,13005
20230701,17167_AM,17233_AM,9036
20230701,17223_AM,17047,360
20230701,18101,28040,3238
20230701,18132,18116_AM,3409
20230701,18157_AM,18905,1834
20230701,19105,08023,2416
20230701,1913002,23087,5493
20230701,20013,01058_AM,2417
20230701,2003004,12089,5186
20230701,2004504,09219,6223
20230701,20059,43086,2916
20230701,2006904,20076,5167
20230701,2006906,42094_AM,4861
20230701,2006906,48080,8035
20230701,2006907,43016,1329
20230701,2102101,25204_AM,2963
20230701,2104106,21069_AM,2163
20230701,2104107,11014,2714
20230701,2104107,21070,72793
20230701,2104107,41055,9815
20230701,2105002,25021,886
20230701,22112_AM,12027,5654
20230701,22112_AM,28007,213
20230701,23019_AM,23073_AM,6059
20230701,23038,14056,3863
20230701,23051,23090_AM,9975
20230701,2305505,05014_AM,3788
20230701,23058,23099,1906
20230701,23075,23026,3897
20230701,23075,34047_AM,3967
20230701,23079_AM,29100,2312
20230701,23092,28014,12585
20230701,23095,28180,2985
20230701,23099,23087,11058
20230701,2408903,33056,6838
20230701,2408904,41049,2714
20230701,2408907,15065,5692
20230701,2408910,24162_AM,12339
20230701,2411503_AD,24196_AM,26764
20230701,24157_AM,08019,8988
20230701,24175_AM,49206_AM,2624
20230701,2422202,34171_AM,18978
20230701,25013,22112_AM,2779
20230701,25023,43131,10987
20230701,25033_AM,25243,6235
20230701,2512004,22059_AM,19003
20230701,2512005,43137_AM,3598
20230701,25137,33021,3903
20230701,25243,25058,4545
20230701,26002_AM,26026_AM,40
20230701,2601801,18184_AM,4211
20230701,26021_AM,43092,24018
20230701,2608902,33031,4492
20230701,2608905,09219,16036
20230701,26168,39052,31
20230701,27015,36047_AM,3698
20230701,2702802,32026_AM,5953
20230701,27041_AM,28132,2966
20230701,2800501,13034,2134
20230701,2800503,41020,4036
20230701,2800504,46113,9146
20230701,2800701,28030,1975
20230701,28012_AM,39001_AM,5025
20230701,2801302,28115,2378
20230701,28022,34069_AM,4505
20230701,28022,39035,4505
20230701,28032_AM,46204,1965
20230701,28041,28164,10634
20230701,28052,04013,2168
20230701,2805402,41091,3446
20230701,2805804,44216,4207
20230701,2805805,03121,1004
20230701,2805806,45106,8328
20230701,2806502,42164_AM,6359
20230701,2806502,46048,3494
20230701,2806504,06005_AM,2373
20230701,2807401,38011,2312
20230701,2807402,28006,6288
20230701,2807403,38028,82
20230701,2807403,49081_AM,2262
20230701,2807405,07054,28
20230701,2807405,18149_AM,28
20230701,28075,19220_AM,1929
20230701,2807901,06095,5831
20230701,2807903,18173,15551
20230701,2807903,28181,28303
20230701,2807904,18136_AM,9341
20230701,2807905,14021,118396
20230701,2807906,24196_AM,9469
20230701,2807908,33036,135824
20230701,2807909,03011,14319
20230701,2807909,46044,4188
20230701,2807909,49122_AM,3326
20230701,2807910,27012_AM,3258
