fecha,zona_pernoctacion,edad,sexo,numero_viajes,personas
20230701,03012,65-100,mujer,1,40822
20230701,03034_AM,65-100,hombre,2+,308459
20230701,03101,0-25,hombre,2,172191
20230701,04075,25-45,mujer,1,159565
20230701,08143,25-45,mujer,2,99538
20230701,11002,25-45,mujer,2,14071
20230701,12072_AM,65-100,hombre,1,29917
20230701,12128_AM,25-45,hombre,2,135684
20230701,12129_AM,65-100,hombre,2+,97958
20230701,13005,25-45,hombre,2+,1795013
20230701,13013,45-65,hombre,2,291324
20230701,13039,25-45,mujer,2,585651
20230701,14012,65-100,hombre,1,39097
20230701,14014,25-45,mujer,0,199871
20230701,14043_AM,45-65,hombre,2,334241
20230701,14052,45-65,mujer,1,180359
20230701,15068,0-25,hombre,1,48806
20230701,15076,45-65,mujer,0,10663
20230701,16134,45-65,hombre,0,375372
20230701,16203,0-25,mujer,0,611463
20230701,17117,25-45,hombre,0,1103588
20230701,17120_AM,25-45,mujer,0,1382
20230701,17148_AM,25-45,hombre,1,40355
20230701,18137_AM,45-65,mujer,1,4467
20230701,20029,45-65,hombre,1,59499
20230701,20061,0-25,mujer,0,240957
20230701,21042,65-100,hombre,0,988236
20230701,22199,0-25,mujer,0,365512
20230701,24088_AM,45-65,mujer,1,97554
20230701,24209,0-25,mujer,2+,70626
20230701,25050,0-25,mujer,2+,137879
20230701,25232_AM,65-100,mujer,0,140852
20230701,27050,0-25,mujer,1,29785
20230701,30039_AM,65-100,hombre,1,176267
20230701,31108_AM,25-45,hombre,2,122882
20230701,34171_AM,45-65,hombre,1,110225
20230701,36036,0-25,hombre,0,11231
20230701,36054,45-65,hombre,2+,1140306
20230701,39012,65-100,hombre,2,179862
20230701,41048_AM,25-45,hombre,2+,137535
20230701,41050,0-25,hombre,0,367742
20230701,41072,25-45,mujer,1,47927
20230701,43126_AM,45-65,mujer,2+,740508
20230701,43904,45-65,hombre,1,32049
20230701,44155_AM,25-45,hombre,1,43317
20230701,46077,0-25,hombre,2,292903
20230701,46147,25-45,mujer,0,774556
20230701,46184,25-45,mujer,0,8316
20230701,46251_AM,45-65,hombre,2+,294668
20230701,47086_AM,0-25,hombre,2,88635
20230701,48095_AM,25-45,hombre,2,136008
20230701,49065_AM,0-25,hombre,2,95867
20230701,49187_AM,65-100,hombre,1,38925
20230701,50057_AM,65-100,mujer,1,33034
20230701,50068_AM,65-100,hombre,2,83584
20230701,50165_AM,65-100,hombre,2,126927
20230701,50204_AM,25-45,mujer,2,73975
20230701,GAU Valle de la Orotava,25-45,hombre,2+,9138552
