fecha,zona_pernoctacion,edad,sexo,numero_viajes,personas
20230701,0200308,25-45,mujer,0,310799
20230701,02012_AM,65-100,hombre,2+,91328
20230701,0303102,25-45,mujer,0,762706
20230701,0307102,0-25,mujer,0,101755
20230701,04098_AM,0-25,hombre,2,108754
20230701,06036_AM,45-65,hombre,2+,228060
20230701,06044_AM,45-65,hombre,2,1063560
20230701,0615802,25-45,hombre,2+,423221
20230701,0700801,25-45,mujer,2+,248066
20230701,0703901,65-100,mujer,0,155530
20230701,07050,25-45,mujer,2,306589
20230701,0705602,0-25,hombre,0,151706
20230701,0800601,45-65,hombre,2+,533100
20230701,0801503,65-100,hombre,2,283233
20230701,08034_AM,0-25,hombre,1,37561
20230701,0807301,25-45,mujer,0,442969
20230701,0810104,45-65,hombre,0,1238901
20230701,0810602,45-65,hombre,2,177439
20230701,0811204,45-65,mujer,2,79323
20230701,0812505,25-45,mujer,2,161310
20230701,0816901,25-45,mujer,2+,658647
20230701,08182,0-25,mujer,0,202028
20230701,0818404,0-25,hombre,2,1149666
20230701,0818705,0-25,mujer,2,394545
20230701,08208_AM,65-100,mujer,0,234291
20230701,0824505,65-100,hombre,0,468630
20230701,0824506,0-25,mujer,1,118744
20230701,08261,45-65,hombre,0,353164
20230701,0827903,65-100,hombre,0,455986
20230701,09211_AM,25-45,hombre,0,364128
20230701,10061_AM,0-25,hombre,2,112634
20230701,10110,25-45,hombre,0,320842
20230701,10110,65-100,hombre,2+,40048
20230701,10216_AM,25-45,hombre,0,330564
20230701,1100702,65-100,mujer,0,369636
20230701,11023,25-45,hombre,1,145580
20230701,1103003,65-100,mujer,2,565438
20230701,1200502,65-100,hombre,2+,148427
20230701,12124,25-45,hombre,2,96169
20230701,1213501,25-45,hombre,1,25163
20230701,14004_AM,25-45,hombre,0,215558
20230701,14045_AM,45-65,hombre,2,187946
20230701,1404903,65-100,mujer,1,88892
20230701,1503003,0-25,hombre,2+,1147838
20230701,1503007,25-45,hombre,2,1075077
20230701,1617501,25-45,mujer,2,130427
20230701,17016_AM,0-25,hombre,0,181971
20230701,17047,65-100,mujer,2+,614647
20230701,1715502,45-65,hombre,2,443782
20230701,18013,45-65,mujer,2+,157107
20230701,1814001,65-100,mujer,0,311407
20230701,18184_AM,25-45,hombre,0,365773
20230701,19071,45-65,mujer,1,155264
20230701,1913004,25-45,hombre,0,340526
20230701,19192,65-100,hombre,0,217353
20230701,20016_AM,25-45,mujer,0,103224
20230701,2101001,0-25,mujer,2,263483
20230701,21046,45-65,hombre,1,37256
20230701,21049,65-100,hombre,2,46733
20230701,21060,0-25,mujer,0,1078251
20230701,2106401,25-45,hombre,0,128443
20230701,23018,0-25,hombre,2,55419
20230701,23061_AM,25-45,hombre,2,419905
20230701,23095,65-100,mujer,2+,290876
20230701,23099,65-100,mujer,2,146590
20230701,24014,0-25,hombre,0,283292
20230701,26168,25-45,mujer,2+,665209
20230701,2807912,65-100,hombre,1,581854
20230701,2808002,65-100,mujer,2,904558
20230701,28127,25-45,mujer,1,572858
20230701,28165,25-45,mujer,0,219408
20230701,2900802,25-45,hombre,2,164691
20230701,30011,0-25,mujer,0,309020
20230701,3001610,65-100,hombre,2+,1368773
20230701,3003701,25-45,hombre,2,552523
20230701,3120104,0-25,hombre,2+,1362312
20230701,3120104,65-100,mujer,2+,2184578
20230701,33059,0-25,hombre,2,83972
20230701,33060,45-65,mujer,2+,1171553
20230701,34023,45-65,mujer,1,71194
20230701,3501902,45-65,hombre,2,200557
20230701,3602901,25-45,mujer,2+,682733
20230701,3603805_AD,65-100,hombre,2,145847
20230701,3605103,65-100,mujer,1,89967
20230701,37202_AM,0-25,mujer,2+,242307
20230701,3803802,45-65,mujer,0,301659
20230701,38050,45-65,hombre,0,305287
20230701,4103403,45-65,mujer,0,272321
20230701,41051,45-65,mujer,0,155135
20230701,4106904,25-45,hombre,1,123159
20230701,4109401,45-65,mujer,1,58634
20230701,4312305,65-100,hombre,2,169726
20230701,43142_AM,45-65,mujer,2,85857
20230701,4314809,25-45,mujer,0,224002
20230701,44153,0-25,hombre,2,93780
20230701,45069_AM,25-45,mujer,2+,285327
20230701,4508702,25-45,hombre,2,46804
20230701,4516504,65-100,mujer,0,438539
20230701,4603103,25-45,mujer,2+,304850
20230701,4613104,45-65,mujer,0,1109676
20230701,46182_AM,45-65,mujer,2,190618
20230701,46199,45-65,mujer,1,121097
20230701,46237,65-100,mujer,0,293987
20230701,4801301,45-65,mujer,1,51387
20230701,48015,45-65,mujer,2+,2871920
20230701,4927503,65-100,hombre,0,108072
20230701,4927505,65-100,mujer,1,135293
20230701,50038_AM,0-25,mujer,0,261529
20230701,5029704,0-25,mujer,2+,4925761
