fecha,zona_pernoctacion,edad,sexo,numero_viajes,personas
20230701,01059,45-65,mujer,0,6157562
20230701,02009,0-25,hombre,2,693026
20230701,02069,25-45,hombre,2+,1065375
20230701,02079,25-45,hombre,2,8827
20230701,03041,65-100,hombre,1,102669
20230701,04035,65-100,mujer,2,274088
20230701,04070_AM,65-100,hombre,0,373543
20230701,04101,45-65,mujer,2+,396167
20230701,06070_AM,65-100,hombre,2+,20095
20230701,06126_AM,65-100,mujer,1,24287
20230701,07056,45-65,mujer,2,210845
20230701,08019,0-25,mujer,1,9916588
20230701,08054,65-100,mujer,1,100269
20230701,08123,45-65,hombre,2,568035
20230701,08167,45-65,hombre,0,289807
20230701,08183,45-65,mujer,2+,428541
20230701,08210,25-45,mujer,2+,389866
20230701,08288_AM,65-100,mujer,0,243221
20230701,09219,45-65,mujer,1,315454
20230701,09390_AM,0-25,hombre,0,206571
20230701,10032_AM,25-45,mujer,0,325182
20230701,10140_AM,65-100,hombre,2,20992
20230701,13082,65-100,mujer,2,730902
20230701,14004_AM,25-45,mujer,2,95515
20230701,14054,45-65,mujer,2,600853
20230701,15043,25-45,mujer,1,3356
20230701,15068,45-65,hombre,0,374846
20230701,15092,65-100,mujer,0,757974
20230701,16170_AM,45-65,mujer,2+,115394
20230701,16191_AM,65-100,hombre,2+,156504
20230701,16198_AM,0-25,mujer,0,257335
20230701,16251_AM,45-65,mujer,2,129741
20230701,17007_AM,65-100,hombre,0,485984
20230701,17012_AM,45-65,hombre,2,165636
20230701,17049_AM,65-100,hombre,2+,21527
20230701,17066,65-100,mujer,1,248999
20230701,17137_AM,45-65,mujer,2+,471708
20230701,17202,65-100,mujer,0,521135
20230701,18022,45-65,hombre,2+,1319677
20230701,18079,0-25,mujer,2+,215508
20230701,18089,25-45,mujer,1,190852
20230701,20072,45-65,mujer,2,179943
20230701,21042,0-25,mujer,1,386575
20230701,21058_AM,65-100,hombre,2+,85208
20230701,23050,25-45,mujer,1,1027617
20230701,24083_AM,0-25,mujer,0,176164
20230701,26071_AM,25-45,hombre,1,167329
20230701,27063_AM,65-100,hombre,2,141846
20230701,28060_AM,65-100,mujer,0,437307
20230701,28137,65-100,mujer,2+,53467
20230701,28160,65-100,mujer,2+,350277
20230701,29056_AM,25-45,hombre,0,204952
20230701,30030,0-25,hombre,0,16168014
20230701,31072_AM,45-65,mujer,2+,429996
20230701,31216,0-25,mujer,2,127079
20230701,32042_AM,65-100,hombre,0,635635
20230701,32058_AM,65-100,mujer,1,127982
20230701,36005,65-100,mujer,0,486605
20230701,37023_AM,65-100,mujer,1,17957
20230701,38043,0-25,hombre,1,130219
20230701,38044,65-100,mujer,0,150214
20230701,39055_AM,0-25,mujer,2,222567
20230701,40041_AM,0-25,mujer,1,16417
20230701,40063,0-25,hombre,2+,174895
20230701,41046_AM,45-65,hombre,2,158041
20230701,41072,0-25,mujer,0,194136
20230701,41085,65-100,hombre,2,75602
20230701,43088_AM,25-45,mujer,2,16197
20230701,43129,0-25,hombre,0,280561
20230701,43903,25-45,hombre,2,88613
20230701,45064,65-100,mujer,0,253955
20230701,45067_AM,25-45,mujer,2,70324
20230701,45181,45-65,mujer,1,24483
20230701,46055_AM,0-25,mujer,0,159543
20230701,46190,0-25,mujer,0,2107234
20230701,46251_AM,0-25,mujer,2,7279
20230701,47004_AM,25-45,mujer,1,4988
20230701,49081_AM,0-25,mujer,1,34429
20230701,49151_AM,25-45,mujer,1,41944
20230701,50038_AM,65-100,mujer,2,11501
20230701,50297,45-65,hombre,0,18153503
