fecha,periodo,origen,destino,distancia,actividad_origen,actividad_destino,residencia,renta,edad,sexo,viajes,viajes_km,estudio_destino_posible,estudio_origen_posible
20230701,00,03123_AM,03123_AM,0.5-2,casa,trabajo_estudio,03,<10,NA,NA,13.054,16.27,false,false
20230701,00,03902,03902,2-10,trabajo_estudio,casa,03,<10,45-65,hombre,16.256,61.153,false,false
20230701,00,07003,07003,2-10,no_frecuente,no_frecuente,15,10-15,25-45,hombre,3.327,12.958,false,false
20230701,00,07013,07013,0.5-2,frecuente,no_frecuente,07,10-15,0-25,hombre,6.415,9.029,false,false
20230701,00,07033,GAU Palma de Mallorca,>50,no_frecuente,casa,07,10-15,25-45,NA,3.115,218.195,false,false
20230701,00,09209_AM,09209_AM,2-10,frecuente,frecuente,48,10-15,25-45,mujer,1.81,4.201,false,false
20230701,00,11006,11006,2-10,frecuente,casa,11,<10,45-65,mujer,32.963,111.898,false,false
20230701,00,15071,15011,10-50,casa,frecuente,15,10-15,NA,NA,2.556,28.937,false,false
20230701,00,17015,17137_AM,0.5-2,frecuente,frecuente,17,10-15,NA,NA,3.814,7.147,false,false
20230701,00,18157_AM,18099_AM,10-50,no_frecuente,casa,18,10-15,NA,NA,5.256,66.119,false,false
20230701,00,21044,21021,10-50,casa,trabajo_estudio,21,<10,NA,NA,5.793,75.742,false,false
20230701,00,24014,24170_AM,0.5-2,casa,frecuente,24,10-15,NA,NA,2.975,4.289,false,false
20230701,00,24092_AM,24092_AM,10-50,frecuente,frecuente,24,10-15,45-65,NA,2.963,33.605,false,false
20230701,00,28036,GAU Madrid,2-10,frecuente,frecuente,45,10-15,0-25,NA,4.745,23.464,false,false
20230701,00,31153_AM,FRI15,2-10,no_frecuente,no_frecuente,17,10-15,65-100,NA,1.021,8.019,false,false
20230701,00,32067_AM,32075_AM,2-10,frecuente,casa,32,10-15,NA,NA,5.512,34.545,false,false
20230701,00,41068,41068,2-10,no_frecuente,frecuente,41,10-15,0-25,mujer,8.672,66.769,false,false
20230701,00,43020_AM,43016,2-10,trabajo_estudio,casa,43,10-15,NA,NA,12.494,41.292,false,false
20230701,00,43037,43163,2-10,trabajo_estudio,frecuente,43,10-15,0-25,hombre,4.576,21.572,false,false
20230701,00,43086,43166_AM,10-50,trabajo_estudio,frecuente,43,10-15,45-65,NA,1.0,13.581,false,false
20230701,00,45188_AM,45188_AM,2-10,frecuente,frecuente,45,10-15,NA,NA,2.622,13.198,false,false
20230701,00,46029,46105,10-50,frecuente,no_frecuente,46,>15,45-65,hombre,2.55,41.753,false,false
20230701,00,46029,46233,10-50,frecuente,casa,46,10-15,NA,NA,2.205,22.116,false,false
20230701,00,48906_AM,48046,2-10,casa,trabajo_estudio,48,>15,NA,NA,5.545,26.307,false,false
20230701,00,GAU Cáceres,GAU Cáceres,0.5-2,frecuente,casa,10,10-15,0-25,hombre,180.694,224.166,false,false
20230701,00,GAU Córdoba,14053,10-50,no_frecuente,casa,14,10-15,NA,NA,3.537,101.122,false,false
20230701,00,GAU Denia - Jávea,GAU Denia - Jávea,0.5-2,frecuente,casa,03,10-15,65-100,NA,97.924,135.526,false,false
20230701,00,GAU Eivissa,GAU Eivissa,2-10,no_frecuente,no_frecuente,08,>15,0-25,mujer,5.826,20.942,false,false
20230701,00,GAU La Bahía de Cádiz,GAU La Bahía de Cádiz,0.5-2,casa,frecuente,11,<10,0-25,hombre,124.76,114.977,false,false
20230701,00,GAU Málaga,GAU La Costa del Sol,2-10,casa,frecuente,29,<10,45-65,mujer,8.248,43.097,false,false
20230701,00,GAU Valencia,46070,2-10,no_frecuente,frecuente,46,10-15,45-65,hombre,2.218,6.162,false,false
20230701,01,03105,03089,10-50,casa,trabajo_estudio,03,<10,NA,NA,1.587,17.732,false,false
20230701,01,06126_AM,06158,10-50,no_frecuente,casa,06,<10,NA,NA,2.435,54.628,false,false
20230701,01,10195_AM,10195_AM,0.5-2,casa,trabajo_estudio,10,<10,65-100,NA,3.237,3.027,false,false
20230701,01,14039_AM,14039_AM,2-10,trabajo_estudio,casa,14,<10,NA,NA,5.145,20.45,false,false
20230701,01,15062,15057,2-10,frecuente,frecuente,15,10-15,45-65,NA,2.814,11.661,false,false
20230701,01,23005,GAU Jaén,10-50,casa,no_frecuente,23,<10,45-65,hombre,4.851,171.188,false,false
