fecha,periodo,origen,destino,distancia,actividad_origen,actividad_destino,residencia,renta,edad,sexo,viajes,viajes_km,estudio_destino_posible,estudio_origen_posible
20230701,16,0105902,0105901,0.5-2,frecuente,casa,01,10-15,65-100,mujer,19.576,18.432,false,false
20230701,18,0105902,01063_AM,2-10,frecuente,casa,01,>15,NA,NA,8.186,69.118,false,false
20230701,23,0200307,0200306,0.5-2,frecuente,casa,02,>15,65-100,NA,8.423,9.902,false,false
20230701,21,0200308,0200308,2-10,frecuente,casa,02,10-15,NA,NA,29.281,170.666,false,false
20230701,14,02009,02009,0.5-2,frecuente,casa,02,10-15,65-100,mujer,29.443,26.619,false,false
20230701,12,02030,02067_AM,10-50,frecuente,casa,02,10-15,65-100,hombre,10.133,267.339,false,false
20230701,06,03028_AM,0300908,10-50,frecuente,casa,03,10-15,NA,NA,5.11,58.635,false,false
20230701,08,0303101,03011,2-10,frecuente,casa,03,<10,45-65,mujer,3.467,14.32,false,false
20230701,01,0311901,0301404,2-10,frecuente,casa,03,10-15,0-25,mujer,7.962,16.355,false,false
20230701,13,0301408,0301406,0.5-2,frecuente,casa,03,10-15,0-25,mujer,8.194,16.251,false,true
20230701,18,0301404,0305003,2-10,frecuente,casa,03,10-15,NA,NA,9.68,80.038,false,false
20230701,09,0307902,0305302,10-50,frecuente,casa,03,10-15,NA,NA,3.081,40.621,false,false
20230701,14,0306303,0306301,2-10,frecuente,casa,03,10-15,25-45,NA,12.039,48.679,false,false
20230701,23,0306503,0306501,0.5-2,frecuente,casa,03,10-15,0-25,mujer,24.636,22.231,false,false
20230701,22,0311301,0306507,2-10,frecuente,casa,03,10-15,0-25,hombre,3.27,17.685,false,false
20230701,00,0300902,03092_AM,10-50,frecuente,casa,03,10-15,0-25,NA,5.685,57.138,false,false
20230701,23,0309904,0309904,0.5-2,frecuente,casa,03,<10,25-45,NA,19.886,18.273,false,false
20230701,09,0312102,0312102,0.5-2,frecuente,casa,03,<10,65-100,hombre,12.5,12.374,false,false
20230701,07,04032,0406602,10-50,frecuente,casa,04,<10,NA,NA,6.202,94.85,false,false
20230701,18,05241_AM,05057,2-10,frecuente,casa,05,<10,NA,NA,7.156,50.954,false,false
