fecha,periodo,origen,destino,distancia,actividad_origen,actividad_destino,residencia,renta,edad,sexo,viajes,viajes_km,estudio_destino_posible,estudio_origen_posible
20230701,00,02003,02003,0.5-2,frecuente,casa,02,>15,65-100,mujer,25.5,27.513,false,false
20230701,00,03015,03034_AM,2-10,trabajo_estudio,no_frecuente,30,10-15,0-25,mujer,5.796,31.411,false,false
20230701,00,03031,03031,0.5-2,no_frecuente,no_frecuente,46,10-15,0-25,hombre,11.678,12.305,false,false
20230701,00,03093,03093,0.5-2,frecuente,no_frecuente,03,10-15,NA,NA,2.192,2.505,false,false
20230701,00,04013,04013,2-10,frecuente,frecuente,04,<10,65-100,hombre,2.796,10.988,false,false
20230701,00,04064,04064,2-10,no_frecuente,no_frecuente,02,10-15,45-65,mujer,4.026,8.854,false,false
20230701,00,07002,07064,10-50,trabajo_estudio,casa,07,10-15,NA,NA,7.044,92.425,false,false
20230701,00,07054,07054,10-50,frecuente,frecuente,07,<10,NA,NA,1.36,14.328,false,false
20230701,00,08015,08194,2-10,frecuente,frecuente,08,>15,NA,NA,3.586,11.519,false,false
20230701,00,08019,08015,2-10,casa,no_frecuente,08,10-15,0-25,mujer,10.726,72.258,false,false
20230701,00,08207,08121,10-50,casa,no_frecuente,08,>15,NA,NA,4.111,78.547,false,false
20230701,00,08279,08279,2-10,frecuente,frecuente,08,>15,45-65,mujer,6.936,16.701,false,false
20230701,00,11030,11027,10-50,no_frecuente,no_frecuente,18,10-15,25-45,hombre,3.101,32.533,false,false
20230701,00,12011_AM,46078,10-50,no_frecuente,casa,46,10-15,45-65,NA,2.622,87.454,false,false
20230701,00,15075,15048,2-10,no_frecuente,no_frecuente,27,10-15,25-45,hombre,4.029,26.792,false,false
20230701,00,18087,18087,0.5-2,no_frecuente,no_frecuente,29,<10,NA,NA,2.966,2.418,false,false
20230701,00,22901_AM,22901_AM,2-10,no_frecuente,no_frecuente,20,10-15,NA,NA,1.602,5.311,false,false
20230701,00,24089,24089,0.5-2,trabajo_estudio,no_frecuente,24,10-15,NA,NA,3.968,4.459,false,false
20230701,00,28092,28079,10-50,frecuente,frecuente,28,10-15,45-65,hombre,5.474,93.135,false,false
20230701,00,32031_AM,32031_AM,2-10,casa,frecuente,32,10-15,NA,NA,16.535,123.548,false,false
20230701,00,34047_AM,34218_AM,10-50,frecuente,no_frecuente,47,10-15,NA,NA,1.615,21.07,false,false
20230701,00,38011,38020,2-10,no_frecuente,casa,38,<10,25-45,mujer,4.715,34.595,false,false
20230701,00,38028,38028,2-10,no_frecuente,frecuente,38,10-15,45-65,mujer,2.484,5.482,false,false
20230701,00,43171,43148,2-10,no_frecuente,casa,43,>15,0-25,hombre,12.122,97.385,false,false
20230701,00,45168,45200_AM,10-50,frecuente,casa,45,10-15,0-25,mujer,13.12,476.127,false,false
20230701,00,46223,46165,0.5-2,casa,no_frecuente,46,10-15,NA,NA,5.296,10.061,false,false
20230701,00,46244,46250,10-50,casa,no_frecuente,46,<10,25-45,mujer,3.745,38.289,false,false
20230701,00,49250_AM,49250_AM,2-10,no_frecuente,no_frecuente,39,10-15,45-65,mujer,3.468,25.409,false,false
20230701,01,01059,01059,0.5-2,trabajo_estudio,frecuente,01,>15,45-65,hombre,3.292,5.776,false,false
20230701,01,03050,03139,10-50,frecuente,frecuente,03,10-15,45-65,NA,2.503,34.922,false,false
20230701,01,03088,03088,0.5-2,no_frecuente,no_frecuente,31,10-15,NA,NA,3.193,5.05,false,false
20230701,01,08019,08155,>50,no_frecuente,frecuente,08,>15,45-65,mujer,2.957,162.677,false,false
20230701,01,08100,08278_AM,10-50,frecuente,casa,08,>15,NA,NA,4.985,51.758,false,false
20230701,01,08163,08203,2-10,no_frecuente,no_frecuente,08,10-15,45-65,hombre,2.13,10.226,false,false
20230701,01,08200,08073,2-10,casa,no_frecuente,08,10-15,45-65,NA,1.728,5.195,false,false
20230701,01,08231,08148,2-10,trabajo_estudio,casa,08,10-15,NA,NA,8.436,36.613,false,false
20230701,01,11027,11027,0.5-2,casa,frecuente,11,<10,0-25,mujer,43.162,56.619,false,false
20230701,01,13056,13034,2-10,frecuente,casa,13,10-15,NA,NA,7.189,30.264,false,false
20230701,01,20045,20045,0.5-2,frecuente,frecuente,50,>15,0-25,hombre,9.833,10.832,false,false
20230701,01,24142,24089,0.5-2,frecuente,casa,24,10-15,45-65,hombre,15.864,28.319,false,false
20230701,01,25025_AM,25025_AM,2-10,frecuente,casa,25,>15,NA,NA,4.387,14.068,false,false
20230701,01,25120,25023,2-10,no_frecuente,frecuente,25,10-15,NA,NA,4.13,16.288,false,false
20230701,01,28901_AM,19151_AM,2-10,casa,frecuente,28,10-15,NA,NA,5.118,38.512,false,false
20230701,01,30002,46085,>50,no_frecuente,no_frecuente,04,<10,25-45,hombre,4.925,669.486,false,false
20230701,01,30043,30043,0.5-2,no_frecuente,casa,30,<10,0-25,hombre,3.263,2.475,false,false
20230701,01,31232,31078_AM,10-50,no_frecuente,casa,31,10-15,NA,NA,7.121,120.23,false,false
20230701,01,33021,33021,2-10,frecuente,frecuente,33,10-15,45-65,hombre,3.341,17.571,false,false
20230701,01,33024,33024,0.5-2,frecuente,no_frecuente,33,>15,65-100,mujer,11.437,17.91,false,false
20230701,01,33051_AM,33069_AM,2-10,no_frecuente,casa,33,10-15,NA,NA,4.463,25.93,false,false
20230701,01,35019,35019,2-10,frecuente,frecuente,35,<10,25-45,NA,3.228,15.164,false,false
20230701,01,41039,41039,2-10,no_frecuente,frecuente,41,10-15,45-65,mujer,3.143,24.134,false,false
20230701,01,43088_AM,43007_AM,2-10,frecuente,frecuente,43,10-15,NA,NA,2.982,9.925,false,false
20230701,01,46250,33044,>50,no_frecuente,no_frecuente,28,10-15,25-45,mujer,4.649,2915.508,false,false
20230701,01,46250,46256,10-50,no_frecuente,casa,46,10-15,45-65,NA,8.765,210.63,false,false
20230701,02,03074_AM,30030,10-50,frecuente,no_frecuente,30,<10,0-25,NA,9.393,135.656,false,false
20230701,02,03139,43155,>50,frecuente,no_frecuente,03,10-15,45-65,NA,3.103,819.589,false,false
20230701,02,08015,08245,2-10,casa,trabajo_estudio,08,>15,25-45,mujer,2.669,8.746,false,false
20230701,02,08282,08126,0.5-2,frecuente,frecuente,08,10-15,25-45,hombre,2.068,2.196,false,false
20230701,02,11012,11012,0.5-2,frecuente,casa,11,10-15,25-45,mujer,102.317,92.286,false,false
20230701,02,11015,11015,0.5-2,frecuente,casa,11,10-15,25-45,mujer,7.287,10.425,false,false
20230701,02,17073,17233_AM,2-10,frecuente,casa,17,>15,NA,NA,2.435,13.679,false,false
20230701,02,18087,18087,0.5-2,frecuente,frecuente,30,10-15,25-45,NA,4.493,2.991,false,false
20230701,02,18193,18193,0.5-2,frecuente,frecuente,18,<10,NA,NA,2.898,3.348,false,false
20230701,02,24015_AM,24039_AM,2-10,no_frecuente,no_frecuente,33,10-15,45-65,hombre,3.187,10.709,false,false
20230701,02,24065,24175_AM,2-10,frecuente,casa,24,10-15,NA,NA,3.316,25.666,false,false
20230701,02,24114,24114,2-10,casa,trabajo_estudio,24,10-15,NA,NA,4.562,11.04,false,false
20230701,02,28007,28079,10-50,casa,no_frecuente,28,10-15,25-45,hombre,5.182,69.29,false,false
20230701,02,35024,35028,2-10,frecuente,casa,35,<10,45-65,hombre,3.438,25.547,false,false
20230701,02,36021,36035,2-10,frecuente,frecuente,36,10-15,25-45,mujer,3.554,23.639,false,false
20230701,02,36024,36024,2-10,frecuente,casa,36,10-15,45-65,mujer,23.938,115.803,false,false
20230701,02,36047_AM,27016,10-50,no_frecuente,frecuente,27,10-15,0-25,NA,5.817,118.623,false,false
20230701,02,37174_AM,37274,10-50,no_frecuente,casa,37,>15,65-100,mujer,3.827,107.827,false,false
20230701,02,38031,38026,0.5-2,casa,trabajo_estudio,38,<10,NA,NA,4.113,6.795,false,false
20230701,02,39020,39020,2-10,casa,trabajo_estudio,39,10-15,NA,NA,7.619,34.583,false,false
20230701,02,41055,41055,0.5-2,frecuente,frecuente,41,10-15,25-45,mujer,4.315,2.631,false,false
20230701,02,41071,41058,10-50,casa,no_frecuente,41,<10,NA,NA,2.305,58.683,false,false
